1 43436190 43436191
2 98466125 98466125
3 47207380 47207380
4 25397082 25397082
5 57812163 57812163
6 71644814 71644814
7 75801105 75801105
8 46615578 46615578
9 97168234 97168234
10 87864135 87864135
11 70196140 70196140
12 19582489 19582489
13 14280432 14280432
14 68901013 68901013
15 18813870 18813870
16 14001810 14001810
17 43351313 43351313
18 3638384 3638384
19 99678544 99678544
20 46703362 46703362
21 33136867 33136867
22 75121529 75121529
23 571490 571490
24 84635985 84635985
25 67298957 67298957
26 15747916 15747916
27 81916176 81916176
28 4362587 4362587
29 59425167 59425167
30 53018126 53018126
31 63122323 63122323
32 46897579 46897579
33 85795197 85795197
34 37315327 37315327
35 97135528 97135528
36 47086322 47086322
37 25352438 25352438
38 67658754 67658754
39 67279636 67279636
40 85294457 85294457
41 12140769 12140769
42 74772607 74772607
43 12726410 12726410
44 74443894 74443894
45 45769 45769
46 47475575 47475575
47 92201383 92201383
48 94281501 94281501
49 80204107 80204107
50 73749168 73749168
51 52608604 52608604
52 97497402 97497402
53 24555869 24555869
54 65152265 65152265
55 91366906 91366906
56 66135471 66135471
57 94365304 94365304
58 24855748 24855748
59 17148079 17148079
60 281578 281578
61 35176589 35176589
62 90254057 90254057
63 8186694 8186694
64 64600517 64600517
65 4073936 4073936
66 36118401 36118401
67 75902604 75902604
68 78084368 78084368
69 49858309 49858309
70 19724384 19724384
71 8205468 8205468
72 22500833 22500833
73 92354505 92354505
74 48324100 48324100
75 40142356 40142356
76 44961933 44961933
77 3766955 3766955
78 44730686 44730686
79 23237165 23237165
80 44663254 44663254
81 34433077 34433077
82 90336770 90336770
83 12893690 12893690
84 98166432 98166432
85 49205489 49205489
86 26183974 26183974
87 79447070 79447070
88 72984132 72984132
89 95182931 95182931
90 12991905 12991905
91 10660714 10660714
92 10342166 10342166
93 30342025 30342025
94 84612403 84612403
95 21046311 21046311
96 23404868 23404868
97 458146 458146
98 88878844 88878844
99 63263659 63263659
100 96615731 96615731
101 31306039 31306039
102 18878700 18878700
103 78286231 78286231
104 10974005 10974005
105 66422736 66422736
106 7996455 7996455
107 2929785 2929785
108 12668547 12668547
109 51752662 51752662
110 61413997 61413997
111 15379736 15379736
112 82069555 82069555
113 28358156 28358156
114 23609074 23609074
115 96846784 96846784
116 44841130 44841130
117 57994124 57994124
118 60995813 60995813
119 86036519 86036519
120 54420003 54420003
121 65048802 65048802
122 3971578 3971578
